Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICEEDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-03-30|2015-07-01|2016-01-26|CUNEO|COMUNE|||CNEE06001N|ALBA CAP. VIA F.LLI AMBROGIO|ALBA CAP. VIA F.LLI AMBROGIO||Si|44.7009|8.035689999999999|Manutenzione Straordinaria|Concluso|I86E11000370005|280000.0|280000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Albaretto della Torre|004004|MIUR|2017-03-30|2014-12-24|2015-06-22|ALBARETTO DELLA TORRE|COMUNE|||CNAA81401N|ALBARETTO DELLA TORRE-CAPOLUOGO|ALBARETTO DELLA TORRE-CAPOLUOGO||Si|44.5955|8.06519|Adeguamento normativo|Concluso|E93J13002870006|275000.0|275000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Bastia Mondovì|004014|MIUR|2017-03-30|2015-07-14|2015-11-04|BASTIA MONDOVI`|COMUNE|||CNEE80601X|BASTIA MONDOVI`|BASTIA MONDOVI`||Si|44.4426|7.89325|Manutenzione Straordinaria|Concluso|C14H14001020006|150000.0|150000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Bossolasco|004027|MIUR|2017-03-30|2015-05-18|2016-04-26|BOSSOLASCO|COMUNE|0040270002|CNIC81400R|CNAA81403Q|BOSSOLASCO-CAPOLUOGO|||Si|44.5275|8.05062|Efficientamento energetico|Concluso|E44H13000140001|325000.0|325000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Bra|004029|MIUR|2017-03-30|2015-06-16|2015-08-14|BRA|COMUNE|||CNEE064022|BRA-CAP.VENERIA|BRA-CAP.VENERIA||Si|44.6923|7.855119999999999|Efficientamento energetico|Concluso|G74H14000500001|167561.44|167561.44
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Busca|004034|MIUR|2017-03-30|2015-05-13|2015-09-04|BUSCA|COMUNE|||CNMM850011|"BUSCA ""G.CARDUCCI"""|"BUSCA ""G.CARDUCCI"""||Si|44.5169|7.47796|Adeguamento normativo|Concluso|G31E14000420001|255000.0|255000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Caramagna Piemonte|004041|MIUR|2017-03-30|2015-07-01|2015-08-30|CARAMAGNA PIEMONTE|COMUNE|||CNEE83806L|CARAMAGNA PIEMONTE - CAPOL.|CARAMAGNA PIEMONTE - CAPOL.||Si|44.7803|7.73885|Efficientamento energetico|Concluso|H11E11000070000|135371.05|135371.05
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Carrù|004043|MIUR|2017-03-30|2015-07-09|2015-10-07|CARRU`|COMUNE|||CNAA80603R|CARRU`|CARRU`||Si|44.4797|7.87352|Manutenzione Straordinaria|Cantiere aperto|J34H14000770001|250000.0|250000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Castelletto Uzzone|004050|MIUR|2017-03-30|2015-04-13|2015-11-09|CASTELLETTO UZZONE|COMUNE|||CNEE81601E|CASTELLETTO UZZONE - CAPOL.|CASTELLETTO UZZONE - CAPOL.||Si|44.4933|8.189869999999999|Manutenzione Straordinaria|Concluso|H11E14000400003|297500.0|297500.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Ceva|004066|MIUR|2017-03-30|2015-07-16|2016-01-11|CUNEO|PROVINCIA|0040660004||CNPS01101X|CEVA -  G.BARUFFI |CEVA - G.BARUFFI||Si|44.3863|8.02908|Adeguamento normativo|Concluso|I86E10000480003|200000.0|200000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Costigliole Saluzzo|004075|MIUR|2017-03-30|2014-12-29|2015-07-30|COSTIGLIOLE SALUZZO|COMUNE|||CNMM826047|VENASCA SS COSTIGLIOLE SALUZZO|VENASCA SS COSTIGLIOLE SALUZZO||Si|44.5648|7.484780000000001|Adeguamento normativo|Concluso|C84H14000840001|380000.0|380000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Demonte|004079|MIUR|2017-03-30|2015-07-01|2015-12-18|DEMONTE|COMUNE|||CNEE80301C|DEMONTE - CAPOLUOGO|DEMONTE - CAPOLUOGO||Si|44.3148|7.29447|Manutenzione Straordinaria|Concluso|C34H13000210001|195000.0|195000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Dronero|004082|MIUR|2017-03-30|2014-12-19|2016-08-09|DRONERO|COMUNE|||CNEE068007|DRONERO|DRONERO||Si|44.4658|7.36567|Adeguamento normativo|Concluso|E56C06000100004|650000.0|500000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Farigliano|004086|MIUR|2017-03-30|2014-07-22|2014-11-18|FARIGLIANO|COMUNE|||CNMM84602A|DOGLIANI  SS FARIGLIANO|DOGLIANI SS FARIGLIANO||Si|44.5116|7.9175699999999996|Adeguamento normativo|Concluso|I17E11000170009|190000.0|182969.08
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Garessio|004095|MIUR|2017-03-30|2015-06-30|2015-09-30|GARESSIO|COMUNE|||CNEE83602R|SCUOLA PRIMARIA DI GARESSIO|SCUOLA PRIMARIA DI GARESSIO||Si|44.2038|8.01423|Manutenzione Straordinaria|Concluso|I11E14000240001|164534.95|164534.95
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Govone|004099|MIUR|2017-03-30|2015-06-22|2015-08-20|GOVONE|COMUNE|||CNAA82302D|GOVONE|GOVONE||Si|44.8045|8.09753|Efficientamento energetico|Concluso|C54H13000110001|434000.0|434000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|La Morra|004105|MIUR|2017-03-30|2015-07-08|2015-10-31|LA MORRA|COMUNE|||CNEE819034|LA MORRA -|LA MORRA -||Si|44.6389|7.9338|Adeguamento normativo|Concluso|E24H14000660001|247000.0|247000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Magliano Alpi|004114|MIUR|2017-03-30|2015-06-15|2015-12-11|MAGLIANO ALPI|COMUNE|||CNAA80605V|MAGLIANO ALPI|MAGLIANO ALPI||Si|44.4657|7.823010000000001|Manutenzione Straordinaria|Concluso|I29D14000290001|347000.0|347000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Manta|004116|MIUR|2017-03-30|2015-02-18|2015-06-17|MANTA|COMUNE|||CNMM154016|SALUZZO SS MANTA|SALUZZO SS MANTA||Si|44.6169|7.48532|Efficientamento energetico|Concluso|E44B13000140002|380900.0|380900.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Mondovì|004130|MIUR|2017-03-30|2014-07-31|2015-09-09|MONDOVI`|COMUNE|||CNEE069025|MONDOVI` CAPOL. BORGO FERRONE|MONDOVI` CAPOL. BORGO FERRONE||Si|44.3917|7.81878|Manutenzione Straordinaria|Concluso|C94H14001060001|330000.0|330000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Montà|004133|MIUR|2017-03-30|2015-05-04|2015-08-03|MONTA`|COMUNE|||CNMM821011|MONTA`|MONTA`||Si|44.8195|7.95303|Efficientamento energetico|Concluso|F37E11000400001|274847.85|274847.85
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Monteu Roero|004140|MIUR|2017-03-30|2014-06-16|2014-09-03|MONTEU ROERO|COMUNE|||CNAA82203P|MONTEU ROERO-CAPOLUOGO|MONTEU ROERO-CAPOLUOGO||Si|44.7793|7.9385|Manutenzione Straordinaria|Concluso|G11H13000250002|250000.0|95000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Monticello d`Alba|004142|MIUR|2017-03-30|2015-06-15|2015-09-12|MONTICELLO D`ALBA|COMUNE|||CNMM15302B|ALBA MACRINO SS MONTICELLO|ALBA MACRINO SS MONTICELLO||Si|44.718|7.941739999999999|Manutenzione Straordinaria|Concluso|I31E14000550001|298000.0|298000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Morozzo|004144|MIUR|2017-03-30|2014-12-22|2015-10-31|MOROZZO|COMUNE|||CNMM80201G|"MOROZZO ""V. PEYRONE"""|"MOROZZO ""V. PEYRONE"""||Si|44.4232|7.70994|Adeguamento normativo|Start|B51E13000350001|496744.21|496744.21
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Paesana|004157|MIUR|2017-03-30|2015-06-15|2015-09-13|PAESANA|COMUNE|||CNMM83502X|SANFRONT SS PAESANA D.L.MILANI|SANFRONT SS PAESANA D.L.MILANI||Si|44.6847|7.274360000000001|Efficientamento energetico|Concluso|C97E13000210001|236000.0|236000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Pagno|004158|MIUR|2017-03-30|2015-07-10|2015-10-10|PAGNO|COMUNE|||CNAA05903A|PAGNO|PAGNO||Si|44.6125|7.427410000000001|Efficientamento energetico|Concluso|D17E13000270002|266500.0|266500.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Pocapaglia|004170|MIUR|2017-03-30|2015-06-01|2015-12-27|POCAPAGLIA|COMUNE|||CNMM820026|S.VITTORIA ALBA SS POCAPAGLIA|S.VITTORIA ALBA SS POCAPAGLIA||Si|44.7138|7.8875399999999996|Adeguamento normativo|Concluso|E43B11000330006|470000.0|470000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Priola|004177|MIUR|2017-03-30|2015-07-06|2016-06-15|PRIOLA|COMUNE|||CNEE83604V|SCUOLA PRIMARIA DI PRIOLA|SCUOLA PRIMARIA DI PRIOLA||Si|44.2404|8.02068|Efficientamento energetico|Concluso|C21E14000360001|200000.0|200000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Prunetto|004178|MIUR|2017-03-30|2015-01-27|2015-10-23|PRUNETTO|COMUNE|||CNEE81608T|"PRUNETTO - CAPOLUOGO ""A. FRESIA"|"PRUNETTO - CAPOLUOGO ""A. FRESIA"||Si|44.4884|8.14365|Manutenzione Straordinaria|Concluso|D36J14000380001|475000.0|475000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Roccaforte Mondovì|004190|MIUR|2017-03-30|2015-09-01|2015-12-31|ROCCAFORTE MONDOVI`|COMUNE|||CNEE812039|ROCCAFORTE MONDOVI`- CAPOL.|ROCCAFORTE MONDOVI`- CAPOL.||Si|44.3176|7.744489999999999|Miglioramento sismico|Concluso|F61E14000770005|400000.0|400000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Sale delle Langhe|004199|MIUR|2017-03-30|2015-05-11|2015-11-10|SALE DELLE LANGHE|COMUNE|||CNEE813024|SALE DELLE LANGHE - CAPOLUOGO|SALE DELLE LANGHE - CAPOLUOGO||Si|44.3961|8.08203|Adeguamento normativo|Concluso|C61E14000230001|134645.36|134645.36
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Saliceto|004201|MIUR|2017-03-30|2015-03-10|2015-12-31|SALICETO|COMUNE|||CNEE81609V|"SALICETO - CAPOLUOGO ""A. MUZIO"""|"SALICETO - CAPOLUOGO ""A. MUZIO"""||Si|44.4139|8.166830000000001|Efficientamento energetico|Concluso|E86J14000450001|500000.0|500000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Salmour|004202|MIUR|2017-03-30|2015-08-24|2015-10-22|SALMOUR|COMUNE|||CNAA80701E|SALMOUR|SALMOUR||Si|44.5783|7.792330000000001|Adeguamento normativo|Cantiere aperto|F91E14000290001|303000.0|303000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Saluzzo|004203|MIUR|2017-03-30|2015-03-18|2015-07-15|CUNEO|PROVINCIA|||CNPM02101G|SALUZZO  GIACOMO SOLERI |SALUZZO GIACOMO SOLERI||No|44.647565|7.483961999999999|Adeguamento normativo|Concluso|I13B12000180003|220000.0|220000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Saluzzo|004203|MIUR|2017-03-30|2013-11-27|2013-12-26|SALUZZO|COMUNE|0042030008||CNEE05906P|SALUZZO-CAP.`C.A. DALLA CHIESA`|SALUZZO-CAP.`C.A. DALLA CHIESA`||No|44.65118|7.499317|Adeguamento normativo|Start|D16D13000310004|47000.0|47000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Santo Stefano Belbo|004213|MIUR|2017-03-30|2015-03-18|2015-09-18|SANTO STEFANO BELBO|COMUNE|||CNEE82402E|SANTO STEFANO BELBO - CAPOL.|SANTO STEFANO BELBO - CAPOL.||Si|44.6997|8.21725|Efficientamento energetico|Concluso|D24H14000120001|262000.0|262000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Scarnafigi|004217|MIUR|2017-03-30|2015-06-25|2016-06-24|SCARNAFIGI|COMUNE|||CNMM83102L|MORETTA SS SCARNAFIGI|MORETTA SS SCARNAFIGI||Si|44.6818|7.56985|Efficientamento energetico|Concluso|E64H14000480001|139000.0|139000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Sommariva del Bosco|004222|MIUR|2017-03-30|2014-12-30|2015-09-30|SOMMARIVA DEL BOSCO|COMUNE|||CNAA817015|"SOMMARIVA BOSCO ""SUOR C.DONINI"""|"SOMMARIVA BOSCO ""SUOR C.DONINI"""||Si|44.7701|7.78338|Adeguamento normativo|Start|D21E14000780001|328829.25|328829.25
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Sommariva Perno|004223|MIUR|2017-03-30|2014-12-22|2015-12-07|SOMMARIVA PERNO|COMUNE|||CNMM818015|SOMMARIVA PERNO|SOMMARIVA PERNO||Si|44.7456|7.90154|Efficientamento energetico|Concluso|E33B12000130006|307303.44|307303.44
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Torre Mondovì|004227|MIUR|2017-03-30|2017-03-01|2017-04-14|TORRE MONDOVI`|COMUNE|||CNAA811027|INF.  TORRE MONDOVI`-CAPOLUOGO|INF. TORRE MONDOVI`-CAPOLUOGO||Si|44.3238|7.90482|Manutenzione Straordinaria|Start|I71H13000270002|29600.0|29600.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Vicoforte|004242|MIUR|2017-03-30|2015-06-30|2016-01-31|VICOFORTE|COMUNE|||CNEE81106L|G. COMINO - VICOFORTE|G. COMINO - VICOFORTE||Si|44.3737|7.87339|Adeguamento normativo|Concluso|C44H14000740001|328000.0|328000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Villanova Mondovì|004245|MIUR|2017-03-30|2015-06-12|2015-09-12|VILLANOVA MONDOVI`|COMUNE|||CNEE81204A|VILLANOVA MONDOVI` - CAPOLUOGO|VILLANOVA MONDOVI` - CAPOLUOGO||Si|44.3485|7.76748|Adeguamento normativo|Concluso|F77B14000270006|300000.0|300000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Pamparato|004159|MIUR|2017-07-31|2015-05-14|2015-10-08|PAMPARATO|COMUNE|0041590003|CNIC811009|CNMM81103C|S.MICHELE M.VI` SS SERRA PAMPAR|||No|44.276957|7.913858|Efficientamento energetico|Concluso|E21E13000230001|304378.22|304378.22
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-07-31|2013-11-11|2014-02-08|ALBA|COMUNE|0040030001|CNIC855003|CNAA855032|ALBA-VIA RORINE|||No|44.690176|8.023133999999999|Adeguamento normativo|Concluso|B87E13000710002|94000.0|94000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-07-31|2015-07-10|2015-09-25|ALBA|COMUNE|0040030001|CNIC855003|CNAA855032|ALBA-VIA RORINE|||No|44.690115000000006|8.023453|Adeguamento normativo|Concluso|B84H14001510004|64000.0|64000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-07-31|2015-04-01|2015-09-02|ALBA|COMUNE|0040030014|CNIC855003|CNEE855015|ALBA-BORGO MORETTA|||No|44.686586|8.035719|Messa in sicurezza|Concluso|B81E13000300001|500000.0|500000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-07-31|2013-11-18|2013-12-17|ALBA|COMUNE|0040030012|CNIC85600V|CNEE856011|ALBA F.LLI AMBROGIO-CENTRO ST.|||No|44.696723999999996|8.038345|Messa in sicurezza|Concluso|B84H13000250004|31000.0|31000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-07-31|2014-07-14|2014-09-11|ALBA|COMUNE|0040030012|CNIC85600V|CNEE856011|ALBA F.LLI AMBROGIO-CENTRO ST.|||No|44.696432|8.03852|Bonifica Amianto|Concluso|B89E14000580004|188000.0|47354.93
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Alba|004003|MIUR|2017-07-31|2013-10-30|2013-12-28|ALBA|COMUNE|0040030018|CNIC85600V|CNMM85601X|ALBA CENTRO STORICO - VIDA|||No|44.701733000000004|8.038250999999999|Manutenzione Straordinaria|Start|B84H13000240004|109000.0|109000.0
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Santo Stefano Roero|004214|MIUR|2017-07-31|||SANTO STEFANO ROERO|COMUNE|0042140001|CNIC82100X|CNEE821034|SANTO STEFANO ROERO - CAPOLUOGO|||No|44.78699|7.942721000000001|Ristrutturazione|Start|F32F14000370002|334676.03|334676.03
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Cuneo|Montanera|004136|MIUR|2017-07-31|2017-05-22|2017-06-30|MONTANERA|COMUNE|0041360001|CNIC80200E|CNEE80204Q|MONTANERA - CAPOL.|||No|44.462824|7.667731|Manutenzione Straordinaria|Start|C66J08000500004|51508.0|51508.0
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Cuneo|Margarita|4118|MIT|2017-09-05|||Margarita|COMUNE||CNIC80200E|CNEE80203P|MARGARITA-CAPOLUOGO|||No|44.402587|7.682734|Interventi urgenti finalizzati alla prevenzione e riduzione del rischio connesso alla vulnerabilit� degli elementi anche non strutturali della scuola elementare in Piazza Marconi, 3 nel Comune di Margarita (CN)|Concluso|F68G10000290005|175000.0|175000.0
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Cuneo|Mondovì|4130|MIT|2017-09-05|||Mondov�|PROVINCIA||CNPS07000P|CNPS07000P|LICEO   VASCO-BECCARIA-GOVONE |||No|44.391056|7.827234|Messa in sicurezza, prevenzione e riduzione del rischio connesso alla vulnerabilit� degli elementi anche non strutturali sul fabbricato di Piazza IV Novembre, 4 nel Comune di Mondov� (CN) sede del Liceo Scientifico G. Vasco - Provincia di Cuneo|Cantiere aperto|I96E10000410001|300000.0|300000.0
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Cuneo|Mondovì|4130|MIT|2017-09-05|||Mondov�|PROVINCIA||CNPS07000P|CNPS07000P|LICEO   VASCO-BECCARIA-GOVONE |||No|44.389306|7.8278550000000005|Messa in sicurezza, prevenzione e riduzione del rischio connesso alla vulnerabilit� degli elementi anche non strutturali sul fabbricato di Via delle Scuole, 23 nel Comune di Mondov� (CN) succursale del Liceo Scientifico G. Vasco - Provincia di Cuneo|Cantiere aperto|I96E10000390001|275000.0|275000.0
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Cuneo|Mondovì|4130|MIT|2017-09-05|||Mondov�|PROVINCIA||CNPS07000P|CNPS07000P|LICEO   VASCO-BECCARIA-GOVONE |||No|44.389404|7.827725|Messa in sicurezza, prevenzione e riduzione del rischio connesso alla vulnerabilit� degli elementi anche non strutturali sul fabbricato di Via delle Scuole, 23 nel Comune di Mondov� (CN) sede del Liceo delle Scienze Sociali Rosa Govone - Provincia d|Cantiere aperto|I96E10000380001|200000.0|200000.0
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Cuneo|Mondovì|4130|MIT|2017-09-05|||Mondov�|PROVINCIA||CNPS07000P|CNPS07000P|LICEO   VASCO-BECCARIA-GOVONE |||No|44.391312|7.827421000000001|Messa in sicurezza, prevenzione e riduzione del rischio connesso alla vulnerabilit� degli elementi anche non strutturali sul fabbricato di Piazza IV Novembre, 5 nel Comune di Mondov� (CN) sede del Liceo Classico Govone , dell`Istituto Professionale|Cantiere aperto|I96E10000400001|650000.0|650000.0
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Cuneo|Piozzo|4169|MIT|2017-09-05|||Piozzo|COMUNE||CNIC846008|CNEE84605E|PIOZZO - CAPOLUOGO|||No|44.51636|7.893163|Ristrutturazione e ampliamento per adeguamento normativo e funzionale dell`edificio di Via Lazanio 20, sede della scuola primaria, nel Comune di Piozzo (CN)|Concluso|F33D08000080000|275000.0|275000.0
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Cuneo|Alba|4003|Amministrazione provinciale|2016-06-20|2013-09-19|2016-06-12|Provincia di CUNEO|PROVINCIA|0040030023|CNPS030008|CNPS030008|ALBA -  LEONARDO COCITO |||No|44.696382|8.030261|Manutenzione straordinaria. riqualificazione e/o rigenerazione , Adeguamento impiantistica e/o antincendio , Conseguimento certificazioni (opere escluse)|Concluso|I88G10000710005|1657017.39|367801.53
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Cuneo|Cuneo|4078|Amministrazione provinciale|2016-06-20|2013-12-16|2014-10-05|Provincia di CUNEO|PROVINCIA|0040780003|CNIS00300E|CNIS00300E|"CUNEO - ""S.GRANDIS"""|||No|44.389719|7.540382000000001|Messa in sicurezza , Adeguamento impiantistica e/o antincendio , Conseguimento certificazioni (opere escluse)|Concluso|I27E13000030003|240564.45|53397.13
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Cuneo|Dronero|4082|Amministrazione provinciale|2016-06-20|2015-07-20|2016-01-26|Provincia di CUNEO|PROVINCIA|0040820008|CNIS02800V|CNRH028024|DRONERO  GIANFRANCO DONADIO |||No|44.465732|7.3411990000000005|Messa in sicurezza , Adeguamento impiantistica e/o antincendio|Concluso|I61H13000390003|135881.18|30161.0
